,Country,Population,O+,A+,B+,AB+,O-,A-,B-,AB-
0,Argentina,44270440,45.4,34.26,8.59,2.64,8.4,0.44,0.21,0.06
1,Armênia,2931568,29.0,46.3,12.0,5.6,2.0,3.7,1.0,0.4
2,Austrália,24642693,40.0,31.0,8.0,2.0,9.0,7.0,2.0,1.0
3,Áustria,8592470,30.0,33.0,12.0,6.0,7.0,8.0,3.0,1.0
4,Barém,1418695,48.48,19.35,22.61,3.67,3.27,1.33,1.04,0.25
5,Bangladesh,164833667,31.18,21.44,34.58,8.85,1.39,0.96,0.96,0.64
6,Bélgica,11444053,38.0,34.0,8.6,4.1,7.0,6.0,1.5,0.8
7,Bolívia,11053376,51.53,29.45,10.11,1.15,4.39,2.73,0.54,0.1
8,Bósnia e Herzegovina,3792730,31.0,36.0,12.0,6.0,5.0,7.0,2.0,1.0
9,Brasil,211248418,36.0,34.0,8.0,2.5,9.0,8.0,2.0,0.5
10,Bulgária,7045097,28.0,37.0,13.0,7.0,5.0,7.0,2.0,1.0
11,Camboja,16077172,46.7,27.2,18.5,4.9,1.3,0.8,0.5,0.1
12,Camarões,24515533,42.8,38.8,12.0,3.3,1.4,1.2,0.4,0.1
13,Canadá,36627140,39.0,36.0,7.6,2.5,7.0,6.0,1.4,0.5
14,Chile,18314060,85.5,8.7,3.35,1.0,1.2,0.1,0.05,0.1
15,China,1388251023,47.7,27.8,18.9,5.0,0.28,0.19,0.1,0.03
16,Colômbia,49069267,61.3,26.11,2.28,1.47,5.13,2.7,0.7,0.31
17,Costa do Marfim,23869656,46.5,22.5,22.5,4.3,2.0,1.0,1.0,0.2
18,Croácia,4207355,29.0,36.0,15.0,5.0,5.0,6.0,3.0,1.0
19,Cuba,11486750,45.8,33.5,10.2,2.9,3.6,2.8,1.0,0.2
20,Chipre,1189395,35.22,40.35,11.11,4.72,3.85,3.48,0.87,0.40
21,República Checa,10555152,27.0,36.0,15.0,7.0,5.0,6.0,3.0,1.0
22,Dinamarca,5711902,35.0,37.0,8.0,4.0,6.0,7.0,2.0,1.0
23,República Dominicana,10766932,46.2,26.4,16.9,3.1,3.7,2.1,1.4,0.2
24,Equador,16665756,75.0,14.0,7.1,0.5,2.38,0.7,0.3,0.02
25,Egito,95220838,52.0,24.0,12.4,3.8,5.0,2.0,0.6,0.2
26,El Salvador,6171483,62.0,23.0,11.0,1.0,1.0,1.0,0.7,0.3
27,Estônia,1305745,29.5,30.8,20.7,6.3,4.3,4.5,3.0,0.9
28,Etiópia,104352727,39.0,28.0,21.0,5.0,3.0,2.0,1.0,1.0
29,Finlândia,5541328,27.0,38.0,15.0,7.0,4.0,6.0,2.0,1.0
30,França,64939560,36.0,37.0,9.0,3.0,6.0,7.0,1.0,1.0
31,Alemanha,80635980,35.0,37.0,9.0,4.0,6.0,6.0,2.0,1.0
32,Grécia,10892849,37.4,32.9,11.0,3.7,7.0,5.0,2.0,1.0
33,Guiné,13291741,46.88,21.64,22.86,4.52,2.0,0.9,1.0,0.2
34,Honduras,9348898,57.5,27.0,7.8,2.5,2.7,1.7,0.6,0.2
35,Hong Kong,7402115,41.5,26.13,25.34,6.35,0.32,0.17,0.14,0.05
36,Hungria,9787801,27.0,33.0,16.0,8.0,5.0,7.0,3.0,1.0
37,Islandia,334311,47.6,26.4,9.3,1.6,8.4,4.6,1.7,0.4
38,Índia,1342561902,27.85,20.8,38.14,8.93,1.43,0.57,1.79,0.49
39,Indonésia,263519317,36.82,25.87,28.85,7.96,0.18,0.13,0.15,0.04
40,Irã,80982137,33.5,27.0,22.2,7.0,4.0,3.0,2.5,0.8
41,Iraque,38657787,32.1,25.0,25.6,7.4,3.6,2.7,2.7,0.9
42,Irlanda,4749263,47.0,26.0,9.0,2.0,8.0,5.0,2.0,1.0
43,Israel,8323659,32.0,34.0,17.0,7.0,3.0,4.0,2.0,1.0
44,Itália,59797969,39.0,36.0,7.5,2.5,7.0,6.0,1.5,0.5
45,Jamaica,2813316,47.0,23.0,20.0,3.0,3.5,2.0,1.0,0.5
46,Japão,126044340,29.9,39.8,19.9,9.9,0.15,0.2,0.1,0.05
47,Quenia,48470780,45.6,25.2,21.28,4.2,1.8,1.0,0.9,0.02
48,Letônia,1944122,30.6,31.0,17.0,6.0,5.4,6.0,3.0,1.0
49,Líbano,6039438,38.4,32.3,9.5,3.2,7.7,6.5,1.7,0.7
50,Líbia,6408990,42.64,28.86,11.19,4.5,6.26,4.24,1.64,0.67
51,Lituânia,2827573,36.0,33.0,11.0,4.0,7.0,6.0,2.0,1.0
52,Luxemburgo,587297,35.0,37.0,9.0,4.0,6.0,6.0,2.0,1.0
53,Macau,606413,41.5,26.1,25.4,6.3,0.33,0.17,0.15,0.05
54,Macedônia,2083690,30.0,34.0,15.0,6.0,5.0,6.0,3.0,1.0
55,Malásia,31165480,34.32,30.35,27.37,7.46,0.17,0.15,0.14,0.04
56,Mauritânia,4266765,46.3,26.68,17.47,3.85,2.8,1.6,1.1,0.2
57,Maurício,1267303,38.3,26.0,25.0,6.7,1.7,1.0,1.0,0.3
58,México,130227836,55.79,29.9,8.0,1.63,2.7,1.5,0.4,0.08
59,Mongólia,3052044,55.4,27.7,10.9,4.96,0.6,0.3,0.1,0.04
60,Myanmar,53507932,35.7,23.8,32.7,6.95,0.3,0.2,0.3,0.05
61,Nepal,29188100,35.2,28.3,27.1,8.6,0.3,0.2,0.2,0.1
62,Holânda,17033012,39.5,35.0,6.7,2.5,7.5,7.0,1.3,0.5
